FECHA,IPC_VAR_MOM_PCT,IPC_VAR_YOY_PCT
2019-01,0.6,3.8
2019-02,0.57,3.8
2019-03,0.43,3.8
2019-04,0.5,3.8
2019-05,0.31,3.8
2019-06,0.27,3.8
2019-07,0.22,3.8
2019-08,0.09,3.8
2019-09,0.23,3.8
2019-10,0.16,3.8
2019-11,0.1,3.8
2019-12,0.26,3.8
2020-01,0.42,1.61
2020-02,0.67,1.61
2020-03,0.57,1.61
2020-04,0.16,1.61
2020-05,-0.32,1.61
2020-06,-0.38,1.61
2020-07,0,1.61
2020-08,-0.01,1.61
2020-09,0.32,1.61
2020-10,-0.06,1.61
2020-11,-0.15,1.61
2020-12,0.38,1.61
2021-01,0.41,5.62
2021-02,0.64,5.62
2021-03,0.51,5.62
2021-04,0.59,5.62
2021-05,1,5.62
2021-06,-0.05,5.62
2021-07,0.32,5.62
2021-08,0.45,5.62
2021-09,0.38,5.62
2021-10,0.01,5.62
2021-11,0.5,5.62
2021-12,0.73,5.62
2022-01,1.67,13.12
2022-02,1.63,13.12
2022-03,1,13.12
2022-04,1.25,13.12
2022-05,0.84,13.12
2022-06,0.51,13.12
2022-07,0.81,13.12
2022-08,1.02,13.12
2022-09,0.93,13.12
2022-10,0.72,13.12
2022-11,0.77,13.12
2022-12,1.26,13.12
2023-01,1.78,9.28
2023-02,1.66,9.28
2023-03,1.05,9.28
2023-04,0.78,9.28
2023-05,0.43,9.28
2023-06,0.3,9.28
2023-07,0.5,9.28
2023-08,0.7,9.28
2023-09,0.54,9.28
2023-10,0.25,9.28
2023-11,0.47,9.28
2023-12,0.45,9.28
2024-01,0.92,5.2
2024-02,1.09,5.2
2024-03,0.7,5.2
2024-04,0.59,5.2
2024-05,0.43,5.2
2024-06,0.32,5.2
2024-07,0.2,5.2
2024-08,0,5.2
2024-09,0.24,5.2
2024-10,-0.13,5.2
2024-11,0.27,5.2
2024-12,0.46,5.2
2025-01,0.94,3.3
2025-02,1.14,3.3
2025-03,0.52,3.3
2025-04,0.66,3.3
2025-05,0.32,3.3
2025-06,0.1,3.3
2025-07,0,0
